role, details,start_date,end_date
Non-Clinical Member,American Speech-Language-Hearing Association, October 2018,Present
Postdoctoral Member,Society for the Neurobiology of Language, April 2018,Present
Member,National Student Speech Language Hearing Association , November 2014, November 2015
New Graduate Member,Irish Association of Speech and Language Therapists , June 2011, December 2013
